,0,1,10,2,3,4,5,6,7,8,9,Snack_G,Snack_UG,Testung,VP-Code,endtime,starttime
MISSES,0,0,0,0,0,0,0,0,0,0,0,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,112,2019-03-20 16:17:08.931366,2019-03-20 16:15:25.665284
RT,2.991372578777373,4.905414124252275,6.111934190616012,3.461338757770136,2.798820989439264,3.293015989474952,3.8761149761267006,5.053892171243206,3.7986967389006168,2.3721686019562185,2.7843070649541914,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,112,2019-03-20 16:17:08.931366,2019-03-20 16:15:25.665284
choice_set,"[[0, 1], [2, 0]]","[[0, 4], [1, 2], [2, 0]]","[[0, 6], [1, 5], [2, 4], [3, 3], [4, 2], [5, 1], [6, 0]]","[[0, 2], [5, 1], [10, 0]]","[[0, 10], [1, 5], [2, 0]]","[[0, 2], [2, 1], [4, 0]]","[[0, 6], [1, 3], [2, 0]]","[[0, 5], [1, 4], [2, 3], [3, 2], [4, 1], [5, 0]]","[[0, 8], [1, 6], [2, 4], [3, 2], [4, 0]]","[[0, 6], [1, 4], [2, 2], [3, 0]]","[[0, 3], [3, 2], [6, 1], [9, 0]]",Snack_Moehren.JPG,Knoppers_Mini.JPG,2,112,2019-03-20 16:17:08.931366,2019-03-20 16:15:25.665284
m,2,4,6,10,10,4,6,5,8,6,9,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,112,2019-03-20 16:17:08.931366,2019-03-20 16:15:25.665284
px,1,2,1,1,5,1,3,1,2,2,1,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,112,2019-03-20 16:17:08.931366,2019-03-20 16:15:25.665284
py,2,1,1,5,1,2,1,1,1,1,3,Snack_Moehren.JPG,Knoppers_Mini.JPG,2,112,2019-03-20 16:17:08.931366,2019-03-20 16:15:25.665284
sbundle,"[2, 0]","[1, 2]","[2, 4]","[5, 1]","[1, 5]","[0, 2]","[1, 3]","[2, 3]","[2, 4]","[1, 4]","[3, 2]",Snack_Moehren.JPG,Knoppers_Mini.JPG,2,112,2019-03-20 16:17:08.931366,2019-03-20 16:15:25.665284
trial_nr,[6],[3],[7],[11],[5],[9],[8],[1],[10],[4],[2],Snack_Moehren.JPG,Knoppers_Mini.JPG,2,112,2019-03-20 16:17:08.931366,2019-03-20 16:15:25.665284